"Component Id",value,time,"Component Name"
15,4,"2013-06-30 04:00:00","Appliance Power Consumption"
5,23,"2013-06-30 04:00:00","bed room temp"
13,0,"2013-06-30 04:20:00","Light Power Consumption"
15,4,"2013-06-30 04:20:00","Appliance Power Consumption"
5,23,"2013-06-30 04:20:00","bed room temp"
14,0,"2013-06-30 04:20:00","AC Power Consumption"
6,23,"2013-06-30 04:20:00","Salon temp"
16,0,"2013-06-30 04:20:00","Self Power Production"
16,0,"2013-06-30 04:40:00","Self Power Production"
13,0,"2013-06-30 04:40:00","Light Power Consumption"
15,4,"2013-06-30 04:40:00","Appliance Power Consumption"
5,23,"2013-06-30 04:40:00","bed room temp"
14,0,"2013-06-30 04:40:00","AC Power Consumption"
6,23,"2013-06-30 04:40:00","Salon temp"
15,4,"2013-06-30 05:00:00","Appliance Power Consumption"
5,23,"2013-06-30 05:00:00","bed room temp"
14,0,"2013-06-30 05:00:00","AC Power Consumption"
6,23,"2013-06-30 05:00:00","Salon temp"
16,0,"2013-06-30 05:00:00","Self Power Production"
13,0,"2013-06-30 05:00:00","Light Power Consumption"
16,0,"2013-06-30 05:20:00","Self Power Production"
13,0,"2013-06-30 05:20:00","Light Power Consumption"
15,4,"2013-06-30 05:20:00","Appliance Power Consumption"
5,23,"2013-06-30 05:20:00","bed room temp"
14,0,"2013-06-30 05:20:00","AC Power Consumption"
6,23,"2013-06-30 05:20:00","Salon temp"
14,0,"2013-06-30 05:40:00","AC Power Consumption"
6,23,"2013-06-30 05:40:00","Salon temp"
16,0,"2013-06-30 05:40:00","Self Power Production"
13,0,"2013-06-30 05:40:00","Light Power Consumption"
15,4,"2013-06-30 05:40:00","Appliance Power Consumption"
5,23,"2013-06-30 05:40:00","bed room temp"
13,0,"2013-06-30 06:00:00","Light Power Consumption"
15,4,"2013-06-30 06:00:00","Appliance Power Consumption"
5,23,"2013-06-30 06:00:00","bed room temp"
14,0,"2013-06-30 06:00:00","AC Power Consumption"
6,23,"2013-06-30 06:00:00","Salon temp"
16,2,"2013-06-30 06:00:00","Self Power Production"
16,3,"2013-06-30 06:20:00","Self Power Production"
13,0,"2013-06-30 06:20:00","Light Power Consumption"
15,4,"2013-06-30 06:20:00","Appliance Power Consumption"
5,24,"2013-06-30 06:20:00","bed room temp"
14,0,"2013-06-30 06:20:00","AC Power Consumption"
6,24,"2013-06-30 06:20:00","Salon temp"
15,4,"2013-06-30 06:40:00","Appliance Power Consumption"
